source,result_family,outcome,term,estimate,std_error,p_value,ci_low,ci_high,model_type,n,fallback_flag,warning_flag,significance_label,interpretation_note,p_fdr_bh_all,significant_fdr_bh_all_0_05,p_fdr_bh_family,significant_fdr_bh_family_0_05
06_models/model_results.csv,questionnaire,q_S1,Intercept,0.8660891955180733,1712317.4376857928,0.9999995964304386,-3356079.6418748666,3356081.374053257,mixedlm_random_intercept,453.0,False,True,p>=0.05,未达到0.05显著性；存在模型稳定性警告或异常标准误/CI,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,C(WWR)[T.45],-5.098816787281184,1712317.4376857472,0.9999976241162396,-3356085.60678076,3356075.4091471853,mixedlm_random_intercept,453.0,False,True,p>=0.05,未达到0.05显著性；WWR只有15/45/75三档，显著性只支持本实验三档内比较；存在模型稳定性警告或异常标准误/CI,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,C(WWR)[T.75],-9.838451466203772,3424634.8753714883,0.999997707799864,-6712170.8543794,6712151.177476467,mixedlm_random_intercept,453.0,False,True,p>=0.05,未达到0.05显著性；WWR只有15/45/75三档，显著性只支持本实验三档内比较；存在模型稳定性警告或异常标准误/CI,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,C(Complexity)[T.1],-14.15587545128616,5136952.313057228,0.9999978012732494,-10068255.679767344,10068227.36801644,mixedlm_random_intercept,453.0,False,True,p>=0.05,未达到0.05显著性；存在模型稳定性警告或异常标准误/CI,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,C(ExperienceGroup)[T.Low],-0.2577721508458963,0.2476796557600905,0.2979924361534316,-0.7432153558389523,0.2276710541471596,mixedlm_random_intercept,453.0,False,False,p>=0.05,未达到0.05显著性,0.6090356359340208,False,0.43842565319125565,False
06_models/model_results.csv,questionnaire,q_S1,C(Gender)[T.Male],0.0013576787368258,0.2341665015785698,0.9953739547450746,-0.4576002307429127,0.4603155882165644,mixedlm_random_intercept,453.0,False,False,p>=0.05,未达到0.05显著性,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,Age,-0.0098267828796922,0.0295775769127429,0.739709861355202,-0.0677977683786318,0.0481442026192473,mixedlm_random_intercept,453.0,False,False,p>=0.05,未达到0.05显著性,1.0,False,0.8607532932133259,False
06_models/model_results.csv,questionnaire,q_S1,block,0.0565285265160697,0.1035103724932063,0.584987158837472,-0.1463480755969401,0.2594051286290797,mixedlm_random_intercept,453.0,False,False,p>=0.05,未达到0.05显著性,0.9635082616146597,False,0.7199841954922732,False
06_models/model_results.csv,questionnaire,q_S1,position,4.81640625,1712317.4376857425,0.9999977557104186,-3356075.691557714,3356085.324370214,mixedlm_random_intercept,453.0,False,True,p>=0.05,未达到0.05显著性；存在模型稳定性警告或异常标准误/CI,1.0,False,0.9999995964304386,False
06_models/model_results.csv,questionnaire,q_S1,Group Var,0.3816353644282206,0.1094208370693069,0.000487056024099,0.1671744646141537,0.5960962642422875,mixedlm_random_intercept,453.0,False,False,p<0.05,统计显著,0.0018792383241984108,True,0.001272309613972898,True
06_models/model_results.csv,questionnaire,q_S2,Intercept,6.264925979728595,0.4066595228425465,3.1624145239238456e-43,5.465714272763899,7.064137686693291,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,4.427380333493384e-41,True,4.0478905906225224e-41,True
06_models/model_results.csv,questionnaire,q_S2,C(WWR)[T.45],-0.7735733210843438,0.1435120780978487,1.1433296909487802e-07,-1.055618930406129,-0.4915277117625586,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；WWR只有15/45/75三档，显著性只支持本实验三档内比较；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,8.65222468826104e-07,True,5.226650015765853e-07,True
06_models/model_results.csv,questionnaire,q_S2,C(WWR)[T.75],-1.0925389629976143,0.1328220905258972,2.1582887193616144e-15,-1.35357544125297,-0.8315024847422587,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；WWR只有15/45/75三档，显著性只支持本实验三档内比较；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,5.0360070118437664e-14,True,3.453261950978583e-14,True
06_models/model_results.csv,questionnaire,q_S2,C(Complexity)[T.1],-0.9857847758605864,0.1153836666385977,2.0917981548840007e-16,-1.212549358982827,-0.7590201927383463,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,5.857034833675202e-15,True,4.462502730419201e-15,True
06_models/model_results.csv,questionnaire,q_S2,C(ExperienceGroup)[T.Low],-0.3888976774467397,0.1322618749362442,0.003449137779846,-0.6488331588422527,-0.1289621960512267,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.011635645522372048,True,0.0080270842876416,True
06_models/model_results.csv,questionnaire,q_S2,C(Gender)[T.Male],-0.2385119031559323,0.1255125089523453,0.0580392876247558,-0.4851827933985907,0.0081589870867259,ols_fallback_after:LinAlgError,453.0,True,True,p>=0.05,未达到0.05显著性；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.16090099539536262,False,0.12178735763883183,False
06_models/model_results.csv,questionnaire,q_S2,Age,-0.0157375113086295,0.0159148865931901,0.3232715702170319,-0.0470151845606533,0.0155401619433942,ols_fallback_after:LinAlgError,453.0,True,True,p>=0.05,未达到0.05显著性；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.6511945299335895,False,0.4702131930429555,False
06_models/model_results.csv,questionnaire,q_S2,block,-0.1026456731653718,0.1249190431859984,0.4116890652659991,-0.3481502196695832,0.1428588733388395,ols_fallback_after:LinAlgError,453.0,True,True,p>=0.05,未达到0.05显著性；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.7583745939110509,False,0.5605978761068924,False
06_models/model_results.csv,questionnaire,q_S2,position,0.3489204050672649,0.0376826258971386,8.766633687542518e-19,0.2748623932060134,0.4229784169285165,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,3.506653475017008e-17,True,2.2442582240108848e-17,True
06_models/model_results.csv,questionnaire,q_S3,Intercept,5.065268850891087,0.4549340310621435,1.4391724503926874e-25,4.171182808149423,5.959354893632751,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,8.059365722199049e-24,True,6.140469121675466e-24,True
06_models/model_results.csv,questionnaire,q_S3,C(WWR)[T.45],-0.2672992843495711,0.1605483814538345,0.0966337255573892,-0.5828264976193784,0.0482279289202361,ols_fallback_after:LinAlgError,453.0,True,True,p>=0.05,未达到0.05显著性；WWR只有15/45/75三档，显著性只支持本实验三档内比较；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.24158431389347299,False,0.18414624357640846,False
06_models/model_results.csv,questionnaire,q_S3,C(WWR)[T.75],-0.9190459661245564,0.148589386606946,1.4069576261946491e-09,-1.211070056638612,-0.6270218756105008,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；WWR只有15/45/75三档，显著性只支持本实验三档内比较；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,1.5151851359019297e-08,True,8.575741721567385e-09,True
06_models/model_results.csv,questionnaire,q_S3,C(Complexity)[T.1],-0.8891319455448876,0.1290808492955225,1.936535994059293e-11,-1.1428157279405862,-0.635448163149189,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,2.5820479920790573e-10,True,1.5492287952474343e-10,True
06_models/model_results.csv,questionnaire,q_S3,C(ExperienceGroup)[T.Low],-0.4341723416634712,0.1479626678848977,0.0035154817965198,-0.7249647360988667,-0.1433799472280758,ols_fallback_after:LinAlgError,453.0,True,True,p<0.05,统计显著；模型发生OLS fallback，需谨慎；存在模型稳定性警告或异常标准误/CI,0.011718272655066,True,0.008035386963473829,True
